"pkid","id_sensor","time","temperature","humidity"
"571","1","2016-11-04 22:02:06","15.1","76.2"
"573","1","2016-11-04 22:02:26","15.1","76.2"
"575","1","2016-11-04 22:02:46","15.1","76.1"
"577","1","2016-11-04 22:03:07","15.1","76.3"
"579","1","2016-11-04 22:03:27","15.1","75.9"
"581","1","2016-11-04 22:03:47","15.1","75.7"
"583","1","2016-11-04 22:04:07","15.1","75.4"
"585","1","2016-11-04 22:04:28","15.1","75.8"
"587","1","2016-11-04 22:04:48","15.1","75.5"
"589","1","2016-11-04 22:05:08","15.1","75.9"
"591","1","2016-11-04 22:05:29","15.1","76.2"
"593","1","2016-11-04 22:05:49","15.1","76.3"
"595","1","2016-11-04 22:06:09","15.1","76.1"
"597","1","2016-11-04 22:06:30","15.1","75.9"
"599","1","2016-11-04 22:06:50","15.1","75.7"
"601","1","2016-11-04 22:07:10","15.1","75.6"
"603","1","2016-11-04 22:07:31","15.1","75.7"
"605","1","2016-11-04 22:07:51","15.1","75.2"
"607","1","2016-11-04 22:08:11","15.1","75.5"
"609","1","2016-11-04 22:08:31","15.1","75.6"
"611","1","2016-11-04 22:08:52","15.1","76"
"613","1","2016-11-04 22:09:12","15.1","76.4"
"615","1","2016-11-04 22:09:32","15.1","76.7"
"617","1","2016-11-04 22:09:53","15.1","75.6"
"619","1","2016-11-04 22:10:13","15.1","74.7"
"621","1","2016-11-04 22:10:33","15.1","74.8"
"623","1","2016-11-04 22:10:54","15.1","75.5"
"625","1","2016-11-04 22:11:14","15.1","75"
"627","1","2016-11-04 22:11:34","15","73.8"
"629","1","2016-11-04 22:11:55","15","72.9"
"631","1","2016-11-04 22:12:15","15","72.4"
"633","1","2016-11-04 22:12:35","15","72.3"
"635","1","2016-11-04 22:12:56","15","72.8"
"637","1","2016-11-04 22:13:16","15","72.9"
"639","1","2016-11-04 22:13:36","15","73.5"
"641","1","2016-11-04 22:13:57","15","73.4"
"643","1","2016-11-04 22:14:17","15","73.1"
"645","1","2016-11-04 22:14:37","15","72.7"
"647","1","2016-11-04 22:14:57","15","72.8"
"649","1","2016-11-04 22:15:18","15","72.3"
"651","1","2016-11-04 22:15:38","15","71.9"
"653","1","2016-11-04 22:15:58","15","72.9"
"655","1","2016-11-04 22:16:19","15","72.2"
"657","1","2016-11-04 22:16:39","15","72.3"
"659","1","2016-11-04 22:16:59","15","72.5"
"661","1","2016-11-04 22:17:20","15","72.7"
"663","1","2016-11-04 22:17:40","15","72.6"
"665","1","2016-11-04 22:18:00","15","72.5"
"667","1","2016-11-04 22:18:21","15","72.8"
"669","1","2016-11-04 22:18:41","15","72.9"
"671","1","2016-11-04 22:19:01","15","72.9"
"673","1","2016-11-04 22:19:21","15","73"
"675","1","2016-11-04 22:19:42","15","72.4"
"677","1","2016-11-04 22:20:02","15","71.8"
"679","1","2016-11-04 22:20:22","15","71.9"
"681","1","2016-11-04 22:20:43","15","71.3"
"683","1","2016-11-04 22:21:03","15","71.7"
"684","1","2016-11-04 22:21:23","15","71.6"
"687","1","2016-11-04 22:21:44","15","71.2"
"689","1","2016-11-04 22:22:04","15","71.1"
"691","1","2016-11-04 22:22:25","15","70.6"
"693","1","2016-11-04 22:22:45","15","70.7"
"695","1","2016-11-04 22:23:05","15","70.8"
"697","1","2016-11-04 22:23:25","15","71.4"
"699","1","2016-11-04 22:23:46","15","70.8"
"701","1","2016-11-04 22:24:06","15","70.4"
"703","1","2016-11-04 22:24:26","15","69.9"
"705","1","2016-11-04 22:24:47","15","69.9"
